根据《心理咨询数据集标注规范》，对每条数据按以下流程标注：先筛查S3紧急危机，若无则判断S1/S2，匹配最具体类目，输出唯一标签。以下为标注结果（idx, label）：

4673 → 1.9（亲密情感关系困扰：与老公婚姻不合、痛苦）
7124 → 1.16（亲子日常相处隔阂矛盾：宝宝歪嘴巴，开导问题）
2745 → 1.13（低自尊：敏感、心软、想活出自己）
7889 → 1.12（自我性格探索困惑：如何提高自我认知）
3565 → 2.1（抑郁障碍：分手痛苦、宽容大度无用，情绪低落）
7887 → 1.2（校园及职场工作烦恼：调岗后同事排挤刁难，心累）
5360 → 3.2（明确规划自杀意念：想自杀的冲动）
7068 → 1.16（亲子日常相处隔阂矛盾：儿子被怀疑偷钱）
2370 → 1.9（亲密情感关系困扰：快结婚却遇到更喜欢的人，迷茫）
4751 → 1.3（家庭问题和矛盾：哥哥失联，家庭关系）
5885 → 1.6（短期睡眠失眠困扰：凌晨睡不着，烦躁）
6947 → 1.17（其他轻量化心理不适困扰：怀疑医生治疗不好牙）
368 → 2.7（强迫思维行为：岳父性格固执孤僻，反复就医？实际描述人格特质，但标注备注2.7包含强迫行为？此处更接近人格问题，但根据症状反复、无法自主停止？标注2.7）
5357 → 2.3（双向情感障碍：情绪波动极大，不解）
1180 → 2.7（强迫思维行为：放不下男友出轨，纠缠）
6836 → 3.4（当场实施伤害他人行为：想打人，听不见）
4531 → 3.2（明确规划自杀意念：想自杀，有自残倾向，会攻击人）
8103 → 1.1（学业烦恼：刚毕业职业抉择困难）
1774 → 1.7（现实综合压力情绪：婚姻问题累，不知怎么办）
1055 → 1.11（恋爱分手情绪内耗：被玩，浑浑噩噩）
8032 → 1.12（自我性格探索困惑：缺爱不自信）
1265 → 1.7（现实综合压力情绪：排斥肢体接触，压力大想快嫁）
6882 → 2.7（强迫思维行为：丢三落四、易怒、压力来源）
7996 → 1.12（自我性格探索困惑：媳妇做微商受不了，迷茫）
1368 → 1.1（学业烦恼：不敢面试，学历低，心烦）
6086 → 1.7（现实综合压力情绪：不想按要求来，心烦）
1843 → 1.15（性认知相关心里困惑：易性癖疑问）
7242 → 1.17（其他轻量化心理不适困扰：女生主动被瞧不起的观念）
6490 → 1.16（亲子日常相处隔阂矛盾：儿子叛逆）
4421 → 2.9（其他未分型疑似心理疾病：自言自语，怀疑精神分裂）
450 → 1.9（亲密情感关系困扰：男生穿女装，老婆知道后）
